Región,Comuna,Enlace de Descarga
IX - La Araucanía,Galvarino,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09106.pdf
IX - La Araucanía,Gorbea,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09107.pdf
IX - La Araucanía,Lautaro,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09108.pdf
IX - La Araucanía,Loncoche,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09109.pdf
IX - La Araucanía,Lonquimay,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09205.pdf
IX - La Araucanía,Los Sauces,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09206.pdf
IX - La Araucanía,Lumaco,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09207.pdf
IX - La Araucanía,Melipeuco,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09110.pdf
IX - La Araucanía,Nueva Imperial,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09111.pdf
IX - La Araucanía,Padre Las Casas,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09112.pdf
IX - La Araucanía,Perquenco,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09113.pdf
IX - La Araucanía,Pitrufquén,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09114.pdf
IX - La Araucanía,Pucón,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09115.pdf
IX - La Araucanía,Purén,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09208.pdf
IX - La Araucanía,Renaico,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09209.pdf
IX - La Araucanía,Saavedra,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09116.pdf
IX - La Araucanía,Temuco,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09101.pdf
IX - La Araucanía,Teodoro Schmidt,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09117.pdf
IX - La Araucanía,Toltén,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09118.pdf
IX - La Araucanía,Traiguén,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09210.pdf
IX - La Araucanía,Victoria,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09211.pdf
IX - La Araucanía,Vilcún,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09119.pdf
IX - La Araucanía,Villarrica,https://cdn.servel.cl/Padron_Definitivo2025/Region_09/A09120.pdf
XIV - Los Ríos,Corral,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14102.pdf
XIV - Los Ríos,Futrono,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14202.pdf
XIV - Los Ríos,La Unión,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14201.pdf
XIV - Los Ríos,Lago Ranco,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14203.pdf
XIV - Los Ríos,Lanco,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14103.pdf
XIV - Los Ríos,Los Lagos,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14104.pdf
XIV - Los Ríos,Máfil,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14105.pdf
XIV - Los Ríos,Mariquina,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14106.pdf
XIV - Los Ríos,Paillaco,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14107.pdf
XIV - Los Ríos,Panguipulli,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14108.pdf
XIV - Los Ríos,Río Bueno,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14204.pdf
XIV - Los Ríos,Valdivia,https://cdn.servel.cl/Padron_Definitivo2025/Region_14/A14101.pdf
X - Los Lagos,Ancud,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10202.pdf
X - Los Lagos,Calbuco,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10102.pdf
X - Los Lagos,Castro,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10201.pdf
X - Los Lagos,Chaitén,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10401.pdf
X - Los Lagos,Chonchi,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10203.pdf
X - Los Lagos,Cochamó,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10103.pdf
X - Los Lagos,Curaco de Vélez,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10204.pdf
X - Los Lagos,Dalcahue,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10205.pdf
X - Los Lagos,Fresia,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10104.pdf
X - Los Lagos,Frutillar,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10105.pdf
X - Los Lagos,Futaleufú,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10402.pdf
X - Los Lagos,Hualaihué,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10403.pdf
X - Los Lagos,Llanquihue,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10107.pdf
X - Los Lagos,Los Muermos,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10106.pdf
X - Los Lagos,Maullín,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10108.pdf
X - Los Lagos,Osorno,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10301.pdf
X - Los Lagos,Palena,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10404.pdf
X - Los Lagos,Puerto Montt,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10101.pdf
X - Los Lagos,Puerto Octay,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10302.pdf
X - Los Lagos,Puerto Varas,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10109.pdf
X - Los Lagos,Puqueldón,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10206.pdf
X - Los Lagos,Purranque,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10303.pdf
X - Los Lagos,Puyehue,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10304.pdf
X - Los Lagos,Queilén,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10207.pdf
X - Los Lagos,Quellón,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10208.pdf
X - Los Lagos,Quemchi,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10209.pdf
X - Los Lagos,Quinchao,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10210.pdf
X - Los Lagos,Río Negro,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10305.pdf
X - Los Lagos,San Juan De La Costa,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10306.pdf
X - Los Lagos,San Pablo,https://cdn.servel.cl/Padron_Definitivo2025/Region_10/A10307.pdf
XI - Aysén,Aysén,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11201.pdf
XI - Aysén,Chile Chico,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11401.pdf
XI - Aysén,Cisnes,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11202.pdf
XI - Aysén,Cochrane,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11301.pdf
XI - Aysén,Coyhaique,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11101.pdf
XI - Aysén,Guaitecas,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11203.pdf
XI - Aysén,Lago Verde,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11102.pdf
XI - Aysén,O'Higgins,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11302.pdf
XI - Aysén,Río Ibáñez,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11402.pdf
XI - Aysén,Tortel,https://cdn.servel.cl/Padron_Definitivo2025/Region_11/A11303.pdf
XII - Magallanes,Antártica,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12202.pdf
XII - Magallanes,Cabo de Hornos,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12201.pdf
XII - Magallanes,Laguna Blanca,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12102.pdf
XII - Magallanes,Natales,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12401.pdf
XII - Magallanes,Porvenir,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12301.pdf
XII - Magallanes,Primavera,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12302.pdf
XII - Magallanes,Punta Arenas,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12101.pdf
XII - Magallanes,Río Verde,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12103.pdf
XII - Magallanes,San Gregorio,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12104.pdf
XII - Magallanes,Timaukel,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12303.pdf
XII - Magallanes,Torres Del Paine,https://cdn.servel.cl/Padron_Definitivo2025/Region_12/A12402.pdf
